title,authors,pdf_link,code_url,conference_name
A free energy based approach for distance metric learning,Sho Inaba ; Carl Fakhry ; Rahul Kulkarni ; Kourosh Zarringhalam ;,,,KDD 2019
A Hierarchical Career-Path-Aware Neural Network for Job Mobility Prediction,Qingxin Meng ; Hengshu Zhu ; Keli Xiao ; Le Zhang ; Hui Xiong ;,,,KDD 2019
A Memory-Efficient Sketch Method for Estimating High Similarities in Streaming Sets,Pinghui Wang ; Yiyan Qi ; Yuanming Zhang ; Chenxu Wang ; Qiaozhu Zhai ; Xiaohong Guan ; John C.S. Lui ;,http://arxiv.org/pdf/1905.08977v1,,KDD 2019
A Minimax Game for Instance based Selective Transfer Learning,Bo Wang ; Minghui Qiu ; Xisen Wang ; Yaliang Li ; Yu Gong ; Xiaoyi Zeng ; Jun Huang ; Bo Zheng ; Deng Cai ; Jingren Zhou ;,,,KDD 2019
A Multiscale Scan Statistic for Adaptive Submatrix Localization,Yuchao Liu ; Ery Arias-Castro ;,http://arxiv.org/pdf/1906.08884v1,,KDD 2019
A permutation approach to assess confounding in machine learning applications for digital health,Elias Chaibub Neto ; Abhishek Pratap ; Thanneer Perumal ; Meghasyam Tummalacherla ; Brian Bot ; Lara Mangravite ; Larsson Omberg ;,,,KDD 2019
A Representation Learning Framework for Property Graphs,Yifan Hou ; Hongzhi Chen ; Changji Li ; James Cheng ; Ming-Chang Yang ;,,,KDD 2019
Adaptive Deep Models for Incremental Learning: Considering Capacity Scalability and Sustainability,Yang Yang ; Da-Wei Zhou ; De-Chuan Zhan ; Hui Xiong ; Yuan Jiang ;,,,KDD 2019
Adaptive Graph Guided Disambiguation for Partial Label Learning,Dengbao Wang ; Li Li ; Min-Ling Zhang ;,,,KDD 2019
Adaptive Unsupervised Feature Selection on Attributed Networks,Jundong Li ; Ruocheng Guo ; Chenghao Liu ; Huan Liu ;,,,KDD 2019
Adaptive-Halting Policy Network for Early Classification,Thomas Hartvigsen ; Cansu Sen ; Xiangnan Kong ; Elke Rundensteiner ;,,,KDD 2019
Adversarial Learning on Heterogeneous Information Networks,Binbin Hu ; Yuan Fang ; Chuan Shi ;,,,KDD 2019
Adversarial Substructured Representation Learning for Mobile User Profiling,Pengyang Wang ; Yanjie Fu ; Xiaolin Li ; Hui Xiong ;,,,KDD 2019
Adversarial Variational Embedding for Robust Semi-supervised Learning,Xiang Zhang ; Lina Yao ; Feng Yuan ;,,,KDD 2019
Adversarially Robust Submodular Maximization under Knapsack Constraints,Dmitrii Avdiukhin ; Slobodan Mitrovic ; Grigory Yaroslavtsev ; Samson Zhou ;,http://arxiv.org/pdf/1905.02367v1,,KDD 2019
An Visual Dialog Augmented Interactive Recommender System,Tong Yu ; Yilin Shen ; Hongxia Jin ;,,,KDD 2019
Assessing The Factual Accuracy of Generated Text,Vinay Rao ; Ben Goodrich ; Peter Liu ; Mohammad Saleh ;,http://arxiv.org/pdf/1905.13322v1,,KDD 2019
AtSNE: Efficient and Robust Visualization on GPU through Hierarchical Optimization,Cong Fu ; Yonghui Zhang ; Deng Cai ; Xiang Ren ;,,,KDD 2019
Attribute-Driven Backbone Discovery,Hanchao Ma ; Sheng Guan ; Yinghui Wu ;,,,KDD 2019
Auditing Data Provenance in Text-Generation Models,Congzheng Song ; Vitaly Shmatikov ;,http://arxiv.org/pdf/1811.00513v2,,KDD 2019
Automating Feature Subspace Exploration via Multi-Agent Reinforcement Learning,Kunpeng Liu ; Yanjie Fu ; Pengfei Wang ; Le Wu ; Rui Bo ; Xiaolin Li ;,,,KDD 2019
AutoNRL: Hyperparameter Optimization for Massive Network Representation Learning,Ke Tu ; Jianxin Ma ; Peng Cui ; Jian Pei ; Wenwu Zhu ;,,,KDD 2019
Axiomatic Interpretability for Multiclass Additive Models,Xuezhou Zhang ; Sarah Tan ; Paul Koch ; Yin Lou ; Urszula Chajewska ; Rich Caruana ;,http://arxiv.org/pdf/1810.09092v2,,KDD 2019
Beyond Personalization: Social Content Recommendation for Creator Equality and Consumer Satisfaction,Wenyi Xiao ; Huan Zhao ; Haojie Pan ; Yangqiu Song ; Vincent W. Zheng ; Qiang Yang ;,http://arxiv.org/pdf/1905.11900v3,,KDD 2019
Certifiable Robustness and Robust Training for Graph Convolutional Networks,Daniel Zügner ; Stephan Günnemann ;,http://arxiv.org/pdf/1906.12269v1,,KDD 2019
Cluster-GCN: An Efficient Algorithm for Training Deep and Large Graph Convolutional Networks,Wei-Lin Chiang ; Xuanqing Liu ; Si Si ; Yang Li ; Samy Bengio ; Cho-Jui Hsieh ;,,,KDD 2019
Clustering without Over-Representation,Sara Ahmadian ; Alessandro Epasto ; Ravi Kumar ; Mohammad Mahdian ;,,,KDD 2019
Co-Prediction of Multiple Transportation Demands Based on Deep Spatio-Temporal Neural Network,Junchen Ye ; Leilei Sun ; Bowen Du ; Yanjie Fu ; Xinran Tong ; Hui Xiong ;,,,KDD 2019
Conditional Random Field Enhanced Graph Convolutional Neural Networks,Hongchang Gao ; Jian Pei ; Heng Huang ;,,,KDD 2019
Contextual Fact Ranking and Its Applications in Table Synthesis and Compression,Silu Huang ; Jialu Liu ; Flip Korn ; Xuezhi Wang ; You Wu ; Dale Markowitz ; Cong Yu ;,,,KDD 2019
Contrastive antichains in hierarchies,Anes Bendimerad ; Jefrey Lijffijt ; Marc Plantevit ; Celine Robardet ; Tijl De Bie ;,,,KDD 2019
Coresets for Minimum Enclosing Balls over Sliding Windows,Yanhao Wang ; Yuchen Li ; Kian-Lee Tan ;,http://arxiv.org/pdf/1905.03718v2,,KDD 2019
CoSTCo: A Nonlinear Sparse Tensor Completion Model,Hanpeng Liu ; Yaguang Li ; Michael Tsang ; Yan Liu ;,,,KDD 2019
Coupled Variational Recurrent Collaborative Filtering,Qingquan Song ; Shiyu Chang ; Xia Hu ;,http://arxiv.org/pdf/1906.04386v1,,KDD 2019
DAML: Dual Attention Mutual Learning between Ratings and Reviews for Item Recommendation,Donghua Liu ; Jing Li ; Bo Du ; Jun Chang ; Rong Gao ;,,,KDD 2019
Deep Anomaly Detection with Deviation Networks,Guansong Pang ; Chunhua Shen ; Anton van den Hengel ;,,,KDD 2019
Deep Landscape Forecasting for Real-time Bidding Advertising,Kan Ren ; Jiarui Qin ; Lei Zheng ; Zhengyu Yang ; Weinan Zhang ; Yong Yu ;,http://arxiv.org/pdf/1905.03028v2,,KDD 2019
